암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQ2MiQyNjEwMDIjNDEjJDEjJDQjJDgz,365MC의원,의원,경기도,성남시 분당구,"경기도 성남시 분당구 서현로210번길 17, 광림플라자 4층 401~402호 (서현동)",일반의,2006-09-19
JDU4MTI3MSM2MSMkMSMkMiMkMDMkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,365간석매일약국,약국,인천광역시,미추홀구,"인천광역시 미추홀구 주안로 219, 브라이튼빌딩 1층 (주안동)",해당사항없음,2025-06-26
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzIxIyQxIyQxIyQ4MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,365강남역약국,약국,서울특별시,강남구,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",해당사항없음,2023-06-22
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkNTgxMzUxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNDEjJDEjJDQjJDgz,365강서수요양병원,요양병원,서울특별시,강서구,"서울특별시 강서구 양천로 35, 1~6층 (방화동)",해당사항없음,2016-09-19
JDQ4MTYyMiM4MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQxIyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz,365강추한의원,한의원,대구광역시,북구,"대구광역시 북구 팔달로 175, 2층 (노원동3가)",한방,2020-12-31
JDQ4MTYyMiM4MSMkMSMkOCMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ5MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,365건강온누리약국,약국,제주특별자치도,제주시,"제주특별자치도 제주시 서광로 301, 1층 (이도일동)",해당사항없음,2019-09-27
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ4MiQzNjEyMjIjNjEjJDEjJDQjJDgz,365건강한부곡의원,의원,경기도,의왕시,경기도 의왕시 부곡중앙남3길 2 (삼동),일반의,2015-08-03
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ3MiQyNjE4MzIjNjEjJDEjJDQjJDgz,365검단열린의원,의원,인천광역시,서구,"인천광역시 서구 단봉로 97-7, 3층 305, 306호 (오류동, 오류센터프라자)",일반의,2016-10-25
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQyIyQzIyQwMCQzNjE4MzIjNjEjJDEjJDQjJDgz,365검단우리약국,약국,인천광역시,서구,"인천광역시 서구 발산로5번길 12, 인천검단 엔젤리움1차 윈팰리스 107호 (원당동)",해당사항없음,2023-05-04
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,365검단한의원,한의원,인천광역시,서구,"인천광역시 서구 이음대로 479, CS메디칼프라자 4층 402호 (당하동)",한방,2023-04-19
